site,date_time,discharge,notes
4198000,1/12/2017 1:00,,cubic feet per second
4198000,1/12/2017 1:30,,cubic feet per second
4198000,1/12/2017 2:00,,cubic feet per second
4198000,1/12/2017 2:30,,cubic feet per second
4198000,1/12/2017 3:00,,cubic feet per second
4198000,1/12/2017 3:30,,cubic feet per second
4198000,1/12/2017 4:00,,cubic feet per second
4198000,1/12/2017 4:30,,cubic feet per second
4198000,1/12/2017 5:00,,cubic feet per second
4198000,1/12/2017 5:30,,cubic feet per second
4198000,1/12/2017 6:00,,cubic feet per second
4198000,1/12/2017 6:30,,cubic feet per second
4198000,1/12/2017 7:00,,cubic feet per second
4198000,1/12/2017 7:30,,cubic feet per second
4198000,1/12/2017 8:00,,cubic feet per second
4198000,1/12/2017 8:30,,cubic feet per second
4198000,1/12/2017 9:00,,cubic feet per second
4198000,1/12/2017 9:30,,cubic feet per second
4198000,1/12/2017 10:00,,cubic feet per second
4198000,1/12/2017 10:30,,cubic feet per second
4198000,1/12/2017 11:00,,cubic feet per second
4198000,1/12/2017 11:30,,cubic feet per second
4198000,1/12/2017 12:00,,cubic feet per second
4198000,1/12/2017 12:30,,cubic feet per second
4198000,1/12/2017 13:00,,cubic feet per second
4198000,1/12/2017 13:30,,cubic feet per second
4198000,1/12/2017 14:00,,cubic feet per second
4198000,1/12/2017 14:30,,cubic feet per second
4198000,1/12/2017 15:00,,cubic feet per second
4198000,1/12/2017 15:30,,cubic feet per second
4198000,1/12/2017 16:00,,cubic feet per second
4198000,1/12/2017 16:30,,cubic feet per second
4198000,1/12/2017 17:00,,cubic feet per second
